,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
RP,최민준,SSG,3.23,7,1,2,0,0,0.333,30 2/3,27,4,17,3,26,16,11,1.43
SP,타케다,SSG,10.21,7,1,5,0,0,0.167,27 1/3,41,3,18,1,26,31,31,2.16
SP,화이트,SSG,4.11,6,1,1,0,0,0.5,30 2/3,37,1,15,2,29,15,14,1.7
RP,백승건,SSG,4.32,5,0,0,0,0,0,8 1/3,9,0,4,0,7,5,4,1.56
SP,김도현,SSG,5.06,4,0,0,0,0,0,5 1/3,3,1,9,0,2,3,3,2.25
,,,,,,,,,,,,,,,,,
RP,김범수,KIA,5.17,21,0,2,1,7,0,15 2/3,16,1,10,1,15,10,9,1.66
CP,조상우,KIA,2.04,20,1,1,0,5,0.5,17 2/3,15,0,8,1,10,8,4,1.3
RP,성영탁,KIA,0.93,16,1,0,5,3,1,19 1/3,15,0,4,0,21,2,2,0.98
RP,최지민,KIA,3.68,16,0,0,0,1,0,14 2/3,15,3,5,2,7,6,6,1.36
CP,정해영,KIA,3.29,13,2,0,1,2,1,13 2/3,9,1,5,1,12,5,5,1.02
RP,한재승,KIA,3.46,13,1,0,0,1,1,13,11,2,4,1,9,5,5,1.15
RP,홍민규,KIA,11.12,12,1,2,0,0,0.333,11 1/3,20,2,5,0,10,14,14,2.21
SP,황동하,KIA,4.93,11,4,0,0,1,1,34 2/3,37,9,12,1,26,20,19,1.41
RP,이태양,KIA,1.42,10,1,0,0,3,1,12 2/3,8,0,3,1,6,2,2,0.87
SP,네일,KIA,3.71,9,1,3,0,0,0.25,51,48,3,8,4,36,21,21,1.1
SP,양현종,KIA,4.66,8,3,3,0,0,0.5,38 2/3,38,7,18,1,30,23,20,1.45
SP,올러,KIA,3.04,8,4,3,0,0,0.571,50 1/3,36,3,15,3,46,18,17,1.01
SP,이의리,KIA,9,8,1,4,0,0,0.2,28,33,6,26,1,32,28,28,2.11
RP,김태형,KIA,6.97,7,0,1,0,0,0,20 2/3,33,4,12,3,10,16,16,2.18
RP,김건국,KIA,7.71,5,0,0,0,0,0,4 2/3,4,1,4,0,4,4,4,1.71
RP,전상현,KIA,13.5,4,0,1,0,2,0,3 1/3,6,0,1,1,3,5,5,2.1
,,,,,,,,,,,,,,,,,
RP,정우주,한화,6.16,20,0,0,0,5,0,19,19,0,18,5,25,13,13,1.95
RP,조동욱,한화,3.86,20,0,1,0,5,0,16 1/3,15,0,8,2,15,7,7,1.41
RP,김종수,한화,4.97,16,0,1,0,3,0,12 2/3,13,2,5,2,13,7,7,1.42
RP,박상원,한화,12,16,0,2,0,3,0,12,21,2,7,1,14,16,16,2.33
CP,쿠싱,한화,4.79,16,1,2,4,0,0.333,20 2/3,20,3,6,0,26,11,11,1.26
RP,윤산흠,한화,3.24,15,1,0,0,2,1,16 2/3,12,1,7,1,13,8,6,1.14
RP,이민우,한화,2.08,14,0,1,0,4,0,17 1/3,15,1,4,3,7,4,4,1.1
CP,김서현,한화,12.38,12,1,2,1,0,0.333,8,9,1,15,4,5,12,11,3
